Cycle,Value,Length,Check
1,[1, 4, 2, 1],4,True
2,[2, 1, 4, 2, 1],5,True
3,[3, 10, 5, 16, 8, 4, 2, 1],8,True
4,[4, 2, 1],3,True
5,[5, 16, 8, 4, 2, 1],6,True
6,[6, 3, 10, 5, 16, 8, 4, 2, 1],9,True
7,[7, 22, 11, 34, 17, 52, 26, 13, 40, 20, 10, 5, 16, 8, 4, 2, 1],17,True
8,[8, 4, 2, 1],4,True
9,[9, 28, 14, 7, 22, 11, 34, 17, 52, 26, 13, 40, 20, 10, 5, 16, 8, 4, 2, 1],20,True
10,[10, 5, 16, 8, 4, 2, 1],7,True
11,[11, 34, 17, 52, 26, 13, 40, 20, 10, 5, 16, 8, 4, 2, 1],15,True
12,[12, 6, 3, 10, 5, 16, 8, 4, 2, 1],10,True
13,[13, 40, 20, 10, 5, 16, 8, 4, 2, 1],10,True
14,[14, 7, 22, 11, 34, 17, 52, 26, 13, 40, 20, 10, 5, 16, 8, 4, 2, 1],18,True
15,[15, 46, 23, 70, 35, 106, 53, 160, 80, 40, 20, 10, 5, 16, 8, 4, 2, 1],18,True
16,[16, 8, 4, 2, 1],5,True
17,[17, 52, 26, 13, 40, 20, 10, 5, 16, 8, 4, 2, 1],13,True
18,[18, 9, 28, 14, 7, 22, 11, 34, 17, 52, 26, 13, 40, 20, 10, 5, 16, 8, 4, 2, 1],21,True
19,[19, 58, 29, 88, 44, 22, 11, 34, 17, 52, 26, 13, 40, 20, 10, 5, 16, 8, 4, 2, 1],21,True
20,[20, 10, 5, 16, 8, 4, 2, 1],8,True
21,[21, 64, 32, 16, 8, 4, 2, 1],8,True
22,[22, 11, 34, 17, 52, 26, 13, 40, 20, 10, 5, 16, 8, 4, 2, 1],16,True
23,[23, 70, 35, 106, 53, 160, 80, 40, 20, 10, 5, 16, 8, 4, 2, 1],16,True
24,[24, 12, 6, 3, 10, 5, 16, 8, 4, 2, 1],11,True
